Tree,Round,Date,Time,Military_Time,Temp_C,RH,Fresh_mass,Dry_mass,WC,Lights,Notes
1,1,21-Aug,11:48,11:48,22.32,48.2,0.1081,0.0461,1.34,off,
2,1,21-Aug,1:40,13:40,22.85,44.7,0.1064,0.0471,1.26,off,
1,2,21-Aug,1:50,13:50,23.02,43.06,0.0509,0.0234,1.18,off,
2,2,21-Aug,2:54,14:54,23.36,42.5,0.1063,0.049,1.17,off,
1,3,21-Aug,3:05,15:05,23.35,41.5,0.114,0.0578,0.97,off,
2,3,21-Aug,4:10,16:10,23.35,42.6,0.1011,0.0506,1,off,
3,1,22-Aug,11:05,11:05,22.56,53.2,0.1093,0.0473,1.31,on,
1,4,22-Aug,11:20,11:20,22.73,52.4,0.0946,0.0661,0.43,on,
3,2,22-Aug,12:05,12:05,23.16,51.6,0.1037,0.0436,1.38,on,
4,1,22-Aug,12:25,12:25,23.42,51.5,0.1261,0.0556,1.27,on,
5,1,22-Aug,1:00,13:00,23.81,52.4,0.1065,0.0415,1.57,off,
3,3,22-Aug,1:07,13:07,23.88,51,0.0936,0.0422,1.22,on,
4,2,22-Aug,1:25,13:25,23.83,52,0.0916,0.0428,1.14,on,
2,4,22-Aug,1:37,13:37,23.86,51.8,0.0967,0.0643,0.5,off,
1,5,22-Aug,1:48,13:48,23.86,51.6,0.0655,0.0563,0.16,off,
5,2,22-Aug,1:57,13:57,23.86,50.8,0.1092,0.0448,1.44,off,
3,4,22-Aug,2:08,14:08,23.86,50.3,0.0941,0.0444,1.12,on,
4,3,22-Aug,2:20,14:20,23.88,50.4,0.0952,0.0443,1.15,on,
5,3,22-Aug,2:57,14:57,23.95,48.9,0.1072,0.0444,1.41,off,
3,5,22-Aug,3:08,15:08,24.03,48.8,0.1113,0.0528,1.11,on,
4,4,22-Aug,3:22,15:22,24.29,49.4,0.1066,0.0523,1.04,on,
5,4,22-Aug,3:56,15:56,24.1,47,0.1295,0.057,1.27,off,
4,5,22-Aug,4:20,16:20,24.12,47.3,0.1133,0.0565,1.01,on,
5,5,22-Aug,4:55,16:55,24.22,46.6,0.1189,0.0536,1.22,off,
3,6,22-Aug,5:17,17:17,24.22,46.9,0.1159,0.0568,1.04,on,
4,6,22-Aug,5:26,17:26,24.24,47.3,0.0836,0.0445,0.88,on,
5,6,22-Aug,5:54,17:54,24.9,45.9,0.106,0.0523,1.03,off,
3,7,23-Aug,12:21,12:21,22.9,57.4,0.08,0.0486,0.65,on,
4,7,23-Aug,12:33,12:33,23.02,57.6,0.1017,0.0694,0.47,on,
5,7,23-Aug,1:09,13:09,23.28,58.5,0.1098,0.0631,0.74,off,
6,1,1-Sep,1:45,13:45,21.44,60.4,0.1074,0.0462,1.32,off,measured spectra pre fresh weight
7,1,1-Sep,2:12,14:12,21.51,59.7,0.1179,0.0525,1.25,off,
6,2,1-Sep,3:45,15:45,21.77,56.8,0.117,0.0535,1.19,off,
7,2,1-Sep,4:14,16:14,21.89,56.9,0.1159,0.0542,1.14,off,
6,3,1-Sep,5:47,17:47,22.18,54.6,0.1178,0.0548,1.15,off,
7,3,1-Sep,6:15,18:15,22.2,54.3,0.1181,0.0567,1.08,off,
6,4,1-Sep,7:46,19:46,22.32,57.2,0.1142,0.0563,1.03,off,
7,4,1-Sep,8:01,20:01,22.32,56.9,0.0979,0.0481,1.04,off,
6,5,2-Sep,1:48,13:48,22.08,62,0.1133,0.0667,0.7,off,
7,5,2-Sep,2:13,14:13,22.13,60.4,0.1057,0.0645,0.64,off,
