"Model","K","AICc","Delta_AICc","AICc_Weight","Marginal_R2","Conditional_R2","RMSE","Singular"
"mixed2s_zpcum8_Area_m2_REPLE_5nm_Median",6,837.823561574912,0,0.317,0.564,0.564,379.62,TRUE
"mixed2s_zpcum8_Area_m2_Maccioni_5nm_Median",6,838.240971330698,0.42,0.257,0.56,0.56,381.04,TRUE
"mixed2s_zpcum9_Area_m2_REPLE_5nm_Median",6,838.923372460432,1.1,0.183,0.555,0.555,383.37,TRUE
"mixed2s_zpcum9_Area_m2_Maccioni_5nm_Median",6,840.457447015338,2.63,0.085,0.542,0.542,388.66,TRUE
"mixed2s_zpcum8_Area_m2_PRInorm_5nm_Median",6,841.066893240263,3.24,0.063,0.537,0.537,390.78,TRUE
"mixed2s_zpcum8_Area_m2_PRI_5nm_Median",6,842.252154384654,4.43,0.035,0.527,0.527,394.93,TRUE
"mixed2s_zpcum9_Area_m2_PRInorm_5nm_Median",6,842.612409783323,4.79,0.029,0.524,0.524,396.21,TRUE
"mixed2s_zpcum9_Area_m2_PRI_5nm_Median",6,843.514460304304,5.69,0.018,0.517,0.517,399.41,TRUE
"mixed_Area_m2_REPLE_5nm_Median",5,845.904778700248,8.08,0.006,0.472,0.472,417.29,TRUE
"mixed_Area_m2_Maccioni_5nm_Median",5,846.667597857607,8.84,0.004,0.465,0.465,420.14,TRUE
"mixed_Area_m2_PRInorm_5nm_Median",5,847.929957965592,10.11,0.002,0.449,0.465,414.14,FALSE
"mixed_Area_m2_PRI_5nm_Median",5,848.009833973318,10.19,0.002,0.451,0.513,395.64,FALSE
"struct_zpcum9_Area_m2",5,851.677772229609,13.85,0,0.303,0.459,393.49,FALSE
"mixed_zpcum8_REPLE_5nm_Median",5,851.936015576908,14.11,0,0.411,0.411,440.38,TRUE
"struct_zpcum8_Area_m2",5,852.493757338343,14.67,0,0.311,0.437,401.41,FALSE
"mixed_zpcum8_PRI_5nm_Median",5,853.375402997687,15.55,0,0.396,0.396,446.07,TRUE
"mixed_zpcum8_Maccioni_5nm_Median",5,853.650081147639,15.83,0,0.393,0.393,447.17,TRUE
"mixed_zpcum9_REPLE_5nm_Median",5,854.117350218964,16.29,0,0.388,0.388,449.04,TRUE
"mixed_zpcum8_PRInorm_5nm_Median",5,854.928116976613,17.1,0,0.379,0.379,452.3,TRUE
"mixed_zpcum9_PRI_5nm_Median",5,855.595777693842,17.77,0,0.371,0.371,455.01,TRUE
"single_Area_m2",4,855.926815408985,18.1,0,0.227,0.441,411.57,FALSE
"mixed_zpcum9_Maccioni_5nm_Median",5,856.820724352643,19,0,0.355,0.358,457.93,FALSE
"mixed_zpcum9_PRInorm_5nm_Median",5,857.481072595742,19.66,0,0.349,0.349,462.73,TRUE
"single_zpcum8",4,861.127255292095,23.3,0,0.185,0.312,447.12,FALSE
"single_zpcum9",4,861.210800830368,23.39,0,0.163,0.335,440.14,FALSE
"single_REPLE_5nm_Median",4,863.252382041481,25.43,0,0.245,0.245,497.82,TRUE
"single_PRI_5nm_Median",4,863.945387615886,26.12,0,0.236,0.236,500.91,TRUE
"spec_REPLE_5nm_Median_PRI_5nm_Median",5,864.506147383598,26.68,0,0.261,0.261,492.68,TRUE
"spec_Maccioni_5nm_Median_PRI_5nm_Median",5,865.153098389209,27.33,0,0.252,0.252,495.54,TRUE
"single_PRInorm_5nm_Median",4,865.353555735118,27.53,0,0.216,0.216,507.25,TRUE
"single_Maccioni_5nm_Median",4,865.432127356963,27.61,0,0.207,0.215,502.62,FALSE
"spec_Maccioni_5nm_Median_REPLE_5nm_Median",5,865.611584586364,27.79,0,0.246,0.246,497.57,TRUE
"spec_REPLE_5nm_Median_PRInorm_5nm_Median",5,865.634063139659,27.81,0,0.246,0.246,497.67,TRUE
"spec_Maccioni_5nm_Median_PRInorm_5nm_Median",5,866.816833294256,28.99,0,0.229,0.229,502.95,TRUE
"null",3,869.465285332071,31.64,0,0,0.235,479.56,FALSE
