"Variable","Importance"
"PRI_5nm_Median",252.044268180371
"Datt3_5nm_Median",140.151007121542
"REPLE_5nm_Median",136.127351902706
"REPLi_5nm_Median",128.62013289042
"MCARIOSAVI_5nm_Median",117.440416926631
"Maccioni_5nm_Median",108.991177881359
"D2_5nm_Median",90.1144055481814
"CI_5nm_Median",87.5525748068053
"PRInorm_5nm_Median",62.6455013603066
"CARI_5nm_Median",45.4437316875896
"SR8_5nm_Median",43.6268783175476
"Carter4_5nm_Median",39.6689742183446
"Carter5_5nm_Median",36.5375228387363
"zpcum8",34.3116931577264
"Carter_5nm_Median",33.8164646051899
"CI2_5nm_Median",33.4038618045874
"zpcum7",33.0112154420113
"Datt_5nm_Median",30.6713525845634
"PRICI2_5nm_Median",24.3705849180006
"Vogelmann2_5nm_Median",24.0318758007561
